h,v
12.899718677940044,104.44252720304104
13.13922444273636,107.16905363221382
13.305036126056873,109.34968914545061
13.599812451960034,112.07747049626916
14.005129900076867,116.44041475160394
14.244635664873183,122.97646499030049
14.668376633358953,125.70717449162595
14.944729438893162,128.4345375352292
15.202658724058416,133.33835301991652
15.607976172175245,135.52442652695203
15.810634896233669,143.14807552536774
16.03171714066103,149.1394897697741
16.326493466564184,156.2210126171914
16.82392851652575,163.85135453105147
17.229245964642587,172.02382259590996
17.48717524980784,175.8392027064477
17.855645657186777,179.65709266027687
18.13199846272099,182.38445570388032
18.51889239046887,190.55650546152353
18.850515757109918,194.37355880092238
19.07159800153728,202.5418437936281
19.2742567255957,206.9001866695948
19.45849192928517,215.06763504786997
19.716421214450424,219.9714505325573
20.011197540353578,225.42032031875002
20.361244427363566,229.78200965243894
20.729714834742502,235.77677035456765
21.024491160645656,244.4909462632094
21.26399692544197,255.92495568557928
21.44823212913144,263.5481863767797
21.706161414296698,265.18669573901826
21.964090699461956,270.0905112237055
22.277290545734054,274.4513639429638
22.6089139123751,282.62215877896114
22.793149116064566,289.7011717830867
22.958960799385093,298.9566372282963
23.235313604919295,300.0513472106752
23.364278247501925,305.4964522319305
23.659054573405072,315.2990635147218
23.972254419677174,327.27896385302773
24.193336664104535,335.4472488457335
24.524960030745582,344.7064790558806
24.801312836279788,352.33180128315735
25.040818601076097,357.2351984606294
25.335594926979248,361.59563287267247
25.667218293620294,364.86846852499644
25.906724058416607,365.41812420586996
26.367312067640277,365.42858188625183
26.698935434281324,367.61298216442606
27.067405841660264,373.6077428665549
27.41745272867026,371.98303764242064
27.63853497309762,374.70914576437804
27.896464258262874,377.43609050076606
28.099122982321294,374.71960344475985
28.264934665641817,374.1791505226226
28.467593389700234,372.55109884076614
28.633405073020754,370.9222105444792
28.79921675634128,368.7491045611173
29.038722521137586,367.12188949369136
29.25980476556495,366.03847380612507
29.480887009992315,362.77818737025945
29.665122213681784,360.061282007038
29.812510376633362,361.6972815259847
30.088863182167565,362.2477738212887
30.42048654880861,360.0784326028644
30.696839354342814,356.8194010886445
31.065309761721753,353.01824342342627
31.32323904688701,350.303011289066
31.599591852421216,344.322891339472
31.839097617217526,339.97458783667196
32.04175634127594,336.71388309359105
32.2996856264412,334.5428686463056
32.50234435049962,332.37059927737437
32.68657955418909,326.38838779170396
32.999779400461186,317.1437983340915
33.22086164488855,314.9719472723755
33.66302613374328,307.9071567135694
33.97622598001538,296.4856965076577
34.344696387394315,287.7865796587659
34.65789623366641,278.54199020115345
34.952672559569564,270.3854178104755
35.247448885472714,259.5077569844233
35.59749577248271,248.63135108001697
35.91069561875481,236.66567318703036
36.24231898539585,225.24463128833395
36.537095311299005,217.0880588976559
36.850295157571104,203.48972794344485
37.08980092236741,192.06659450867195
37.310883166794774,179.0103897054594
37.53196541122214,166.49840258932164
37.77147117601845,151.26574534502498
38.029400461183705,135.4892887208688
38.25048270561107,120.80043085643172
38.471564950038434,99.5809607470967
38.600529592621065,84.89001134658317
38.72949423520369,68.02219119777037
38.82161183704842,54.41884055697604
38.87688239815527,41.9030886759008
38.913729438893164,31.019571548834733
38.932152959262105,22.85672454992757
38.95057647963105,16.326530612244877
38.969,10.884772048711806
38.98742352036895,5.443013485178818
